Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude
1,Aak,https://volcano.si.edu/gallery/photos/GVP-02810.jpg,Stratovolcano(es),Russia,pleistocene,53.38°N,158.67°E
2,Abu,https://volcano.si.edu/gallery/photos/GVP-08952.jpg,Shield(s),Japan,holocene,34.5°N,131.6°E
3,Acamarachi,https://volcano.si.edu/gallery/photos/GVP-06887.jpg,Stratovolcano,Chile,holocene,23.292°S,67.618°W
4,Acatenango,https://volcano.si.edu/gallery/photos/GVP-07880.jpg,Stratovolcano(es),Guatemala,holocene,14.501°N,90.876°W
5,Acatlan Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-07956.jpg,Caldera,Mexico,pleistocene,20.45°N,103.57°W
6,Acigol-Nevsehir,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Turkey,holocene,38.537°N,34.621°E
7,Acoculco,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Mexico,pleistocene,19.97°N,98.2°W
8,Acotango,https://volcano.si.edu/gallery/photos/GVP-11231.jpg,Stratovolcano(es),Chile,pleistocene,18.37°S,69.05°W
9,Acquasparta,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Italy,pleistocene,42.65°N,12.3°E
10,Adachi,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,pleistocene,38.218°N,140.654°E
11,Adagdak,https://volcano.si.edu/gallery/photos/GVP-09855.jpg,Stratovolcano,United States,pleistocene,51.988°N,176.592°W
12,Adamozhets,https://volcano.si.edu/includes/images/noimage.jpg,Cone,Russia,pleistocene,54.688°N,159.483°E
13,Adams,https://volcano.si.edu/gallery/photos/GVP-02810.jpg,Stratovolcano,United States,holocene,46.206°N,121.49°W
14,Adams Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,holocene,25.37°S,129.27°W
15,Adare Peninsula,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Antarctica,pleistocene,71.7°S,170.6°E
16,Adatarayama,https://volcano.si.edu/gallery/photos/GVP-02055.jpg,Stratovolcano(es),Japan,holocene,37.647°N,140.281°E
17,Adwa,https://volcano.si.edu/gallery/photos/GVP-11729.jpg,Stratovolcano,Ethiopia,holocene,10.063°N,40.831°E
18,Aegina,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Greece,pleistocene,37.75°N,23.5°E
19,Afdera,https://volcano.si.edu/gallery/photos/GVP-09903.jpg,Stratovolcano,Ethiopia,holocene,13.088°N,40.853°E
20,Agrigan,https://volcano.si.edu/gallery/photos/GVP-09520.jpg,Stratovolcano,United States,holocene,18.77°N,145.67°E
21,Agua,https://volcano.si.edu/gallery/photos/GVP-04638.jpg,Stratovolcano,Guatemala,holocene,14.465°N,90.743°W
22,Agua de Pau,https://volcano.si.edu/gallery/photos/GVP-06110.jpg,Stratovolcano,Portugal,holocene,37.77°N,25.47°W
23,Aguajito  El,https://volcano.si.edu/gallery/photos/GVP-10212.jpg,Caldera,Mexico,pleistocene,27.554°N,112.552°W
24,Aguas Delgadas,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,pleistocene,24.45°S,68.4°W
25,Aguilera,https://volcano.si.edu/gallery/photos/GVP-12662.jpg,Stratovolcano,Chile,holocene,50.33°S,73.75°W
26,Agung,https://volcano.si.edu/gallery/photos/GVP-01738.jpg,Stratovolcano,Indonesia,holocene,8.343°S,115.508°E
27,Ahon  Tarso,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Chad,pleistocene,20.539°N,18.29°E
28,Ahyi,https://volcano.si.edu/gallery/photos/GVP-11697.jpg,Submarine,United States,holocene,20.42°N,145.03°E
29,Aira,https://volcano.si.edu/gallery/photos/GVP-10567.jpg,Caldera,Japan,holocene,31.593°N,130.657°E
30,Aird Hills,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Papua New Guinea,pleistocene,7.45°S,144.35°E
31,Aitutaki,https://volcano.si.edu/includes/images/noimage.jpg,Shield,New Zealand,pleistocene,18.9°S,159.77°W
32,Aizu Nunobiki,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,37.321°N,140.018°E
33,Akademia Nauk,https://volcano.si.edu/gallery/photos/GVP-02346.jpg,Stratovolcano(es),Russia,holocene,53.98°N,159.45°E
34,Akagisan,https://volcano.si.edu/gallery/photos/GVP-02024.jpg,Stratovolcano,Japan,holocene,36.56°N,139.193°E
35,Akaigawa,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,43.08°N,140.82°E
36,Akan,https://volcano.si.edu/gallery/photos/GVP-05610.jpg,Caldera,Japan,holocene,43.384°N,144.013°E
37,Akandanayama,https://volcano.si.edu/gallery/photos/GVP-12610.jpg,Stratovolcano,Japan,holocene,36.2°N,137.573°E
38,Akhtang,https://volcano.si.edu/gallery/photos/GVP-12620.jpg,Shield,Russia,pleistocene,55.43°N,158.65°E
39,Akhuryan Valley,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Armenia,pleistocene,41.067°N,43.75°E
40,Akita-Komagatake,https://volcano.si.edu/gallery/photos/GVP-08922.jpg,Stratovolcano(es),Japan,holocene,39.761°N,140.799°E
41,Akita-Yakeyama,https://volcano.si.edu/gallery/photos/GVP-10502.jpg,Stratovolcano,Japan,holocene,39.964°N,140.757°E
42,Akusekijima,https://volcano.si.edu/gallery/photos/GVP-11795.jpg,Stratovolcano(es),Japan,holocene,29.465°N,129.594°E
43,Akutan,https://volcano.si.edu/gallery/photos/GVP-04544.jpg,Stratovolcano,United States,holocene,54.134°N,165.986°W
44,Alaid,https://volcano.si.edu/gallery/photos/GVP-02280.jpg,Stratovolcano,Russia,holocene,50.861°N,155.565°E
45,Alamagan,https://volcano.si.edu/gallery/photos/GVP-02138.jpg,Stratovolcano,United States,holocene,17.6°N,145.83°E
