Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude,price,quantity
1,Aak,https://volcano.si.edu/gallery/photos/GVP-02810.jpg,Stratovolcano(es),Russia,pleistocene,53.38N,158.67E,100,99
2,Abu,https://volcano.si.edu/gallery/photos/GVP-08952.jpg,Shield(s),Japan,holocene,34.5N,131.6E,100,99
3,Acamarachi,https://volcano.si.edu/gallery/photos/GVP-06887.jpg,Stratovolcano,Chile,holocene,23.292S,67.618W,100,99
4,Acatenango,https://volcano.si.edu/gallery/photos/GVP-07880.jpg,Stratovolcano(es),Guatemala,holocene,14.501N,90.876W,100,99
5,Acatlan Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-07956.jpg,Caldera,Mexico,pleistocene,20.45N,103.57W,100,99
6,Acigol-Nevsehir,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Turkey,holocene,38.537N,34.621E,100,99
7,Acoculco,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Mexico,pleistocene,19.97N,98.2W,100,99
8,Acotango,https://volcano.si.edu/gallery/photos/GVP-11231.jpg,Stratovolcano(es),Chile,pleistocene,18.37S,69.05W,100,99
9,Acquasparta,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Italy,pleistocene,42.65N,12.3E,100,99
10,Adachi,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,pleistocene,38.218N,140.654E,100,99
11,Adagdak,https://volcano.si.edu/gallery/photos/GVP-09855.jpg,Stratovolcano,United States,pleistocene,51.988N,176.592W,100,99
12,Adamozhets,https://volcano.si.edu/includes/images/noimage.jpg,Cone,Russia,pleistocene,54.688N,159.483E,100,99
13,Adams,https://volcano.si.edu/gallery/photos/GVP-02810.jpg,Stratovolcano,United States,holocene,46.206N,121.49W,100,99
14,Adams Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,holocene,25.37S,129.27W,100,99
15,Adare Peninsula,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Antarctica,pleistocene,71.7S,170.6E,100,99
16,Adatarayama,https://volcano.si.edu/gallery/photos/GVP-02055.jpg,Stratovolcano(es),Japan,holocene,37.647N,140.281E,100,99
17,Adwa,https://volcano.si.edu/gallery/photos/GVP-11729.jpg,Stratovolcano,Ethiopia,holocene,10.063N,40.831E,100,99
18,Aegina,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Greece,pleistocene,37.75N,23.5E,100,99
19,Afdera,https://volcano.si.edu/gallery/photos/GVP-09903.jpg,Stratovolcano,Ethiopia,holocene,13.088N,40.853E,100,99
20,Agrigan,https://volcano.si.edu/gallery/photos/GVP-09520.jpg,Stratovolcano,United States,holocene,18.77N,145.67E,100,99
21,Agua,https://volcano.si.edu/gallery/photos/GVP-04638.jpg,Stratovolcano,Guatemala,holocene,14.465N,90.743W,100,99
22,Agua de Pau,https://volcano.si.edu/gallery/photos/GVP-06110.jpg,Stratovolcano,Portugal,holocene,37.77N,25.47W,100,99
23,Aguajito  El,https://volcano.si.edu/gallery/photos/GVP-10212.jpg,Caldera,Mexico,pleistocene,27.554N,112.552W,100,99
24,Aguas Delgadas,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,pleistocene,24.45S,68.4W,100,99
25,Aguilera,https://volcano.si.edu/gallery/photos/GVP-12662.jpg,Stratovolcano,Chile,holocene,50.33S,73.75W,100,99
26,Agung,https://volcano.si.edu/gallery/photos/GVP-01738.jpg,Stratovolcano,Indonesia,holocene,8.343S,115.508E,100,99
27,Ahon  Tarso,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Chad,pleistocene,20.539N,18.29E,100,99
28,Ahyi,https://volcano.si.edu/gallery/photos/GVP-11697.jpg,Submarine,United States,holocene,20.42N,145.03E,100,99
29,Aira,https://volcano.si.edu/gallery/photos/GVP-10567.jpg,Caldera,Japan,holocene,31.593N,130.657E,100,99
30,Aird Hills,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Papua New Guinea,pleistocene,7.45S,144.35E,100,99
31,Aitutaki,https://volcano.si.edu/includes/images/noimage.jpg,Shield,New Zealand,pleistocene,18.9S,159.77W,100,99
32,Aizu Nunobiki,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,37.321N,140.018E,100,99
33,Akademia Nauk,https://volcano.si.edu/gallery/photos/GVP-02346.jpg,Stratovolcano(es),Russia,holocene,53.98N,159.45E,100,99
34,Akagisan,https://volcano.si.edu/gallery/photos/GVP-02024.jpg,Stratovolcano,Japan,holocene,36.56N,139.193E,100,99
35,Akaigawa,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,43.08N,140.82E,100,99
36,Akan,https://volcano.si.edu/gallery/photos/GVP-05610.jpg,Caldera,Japan,holocene,43.384N,144.013E,100,99
37,Akandanayama,https://volcano.si.edu/gallery/photos/GVP-12610.jpg,Stratovolcano,Japan,holocene,36.2N,137.573E,100,99
38,Akhtang,https://volcano.si.edu/gallery/photos/GVP-12620.jpg,Shield,Russia,pleistocene,55.43N,158.65E,100,99
39,Akhuryan Valley,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Armenia,pleistocene,41.067N,43.75E,100,99
40,Akita-Komagatake,https://volcano.si.edu/gallery/photos/GVP-08922.jpg,Stratovolcano(es),Japan,holocene,39.761N,140.799E,100,99
41,Akita-Yakeyama,https://volcano.si.edu/gallery/photos/GVP-10502.jpg,Stratovolcano,Japan,holocene,39.964N,140.757E,100,99
42,Akusekijima,https://volcano.si.edu/gallery/photos/GVP-11795.jpg,Stratovolcano(es),Japan,holocene,29.465N,129.594E,100,99
43,Akutan,https://volcano.si.edu/gallery/photos/GVP-04544.jpg,Stratovolcano,United States,holocene,54.134N,165.986W,100,99
44,Alaid,https://volcano.si.edu/gallery/photos/GVP-02280.jpg,Stratovolcano,Russia,holocene,50.861N,155.565E,100,99
45,Alamagan,https://volcano.si.edu/gallery/photos/GVP-02138.jpg,Stratovolcano,United States,holocene,17.6N,145.83E,100,99
46,Alayta,https://volcano.si.edu/gallery/photos/GVP-11181.jpg,Shield,Ethiopia,holocene,12.888N,40.573E,100,99
47,Albuquerque,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,pleistocene,35.12N,106.75W,100,99
48,Alcedo,https://volcano.si.edu/gallery/photos/GVP-04737.jpg,Shield,Ecuador,holocene,0.43S,91.12W,100,99
49,Aldama Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-08596.jpg,Volcanic field,Mexico,pleistocene,23.2N,98.02W,100,99
50,Alderman Islands,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),New Zealand,pleistocene,36.97S,176.08E,100,99
51,Ale Bagu,https://volcano.si.edu/gallery/photos/GVP-11726.jpg,Stratovolcano,Ethiopia,holocene,13.512N,40.631E,100,99
52,Alexander Selkirk,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Chile,pleistocene,33.763S,80.811W,100,99
53,Ali Mela,https://volcano.si.edu/includes/images/noimage.jpg,Cone,Ethiopia,pleistocene,12.718N,41.396E,100,99
54,Alice Arm,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Canada,pleistocene,55.43N,129.37W,100,99
55,Alicudi,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Italy,pleistocene,38.55N,14.33E,100,99
56,Alid,https://volcano.si.edu/gallery/photos/GVP-05954.jpg,Stratovolcano,Eritrea,holocene,14.88N,39.92E,100,99
